order_date,revenue
2022-04-03,328052.78571428574
2022-04-04,372572.730797096
2022-04-05,469130.8736542388
2022-04-06,555552.9396997655
2022-04-07,629167.511128337
2022-04-08,634729.0825569084
2022-04-09,639648.8740164863
2022-04-10,637465.7311593435
2022-04-11,639554.9289336762
2022-04-12,614190.1432193905
2022-04-13,603589.9343167208
2022-04-14,612346.8793995312
2022-04-15,607064.3793995312
2022-04-16,602501.8736542389
2022-04-17,598340.0165113817
2022-04-18,591876.6401656205
2022-04-19,594022.5030537699
2022-04-20,601670.7887680557
2022-04-21,592495.9151138169
2022-04-22,592776.3659419194
2022-04-23,603922.5802276337
2022-04-24,610644.4373704909
2022-04-25,620661.9565733948
2022-04-26,622133.8079709597
2022-04-27,607617.0936852454
2022-04-28,602076.181987446
2022-04-29,595510.802587915
2022-04-30,594708.9070392498
2022-05-01,601432.1927535356
2022-05-02,607550.0498963927
2022-05-03,659448.7257762989
2022-05-04,674071.0775361113
2022-05-05,681321.060662482
2022-05-06,698091.2892339106
2022-05-07,697362.891925433
2022-05-08,686047.5405278681
2022-05-09,674263.3819564396
2022-05-10,614432.5632193905
2022-05-11,595804.4257452923
2022-05-12,576853.5686024352
2022-05-13,552128.9828881494
2022-05-14,537013.2043167208
2022-05-15,534533.5779709596
2022-05-16,525425.7365423882
2022-05-17,524578.8079709597
2022-05-18,522021.7365423883
2022-05-19,523849.7365423883
2022-05-20,519157.59368524543
2022-05-21,510199.02225667395
2022-05-22,500639.6486024352
2022-05-23,498816.36288814945
2022-05-24,496869.0771738637
2022-05-25,507790.9343167209
2022-05-26,506857.5057452923
2022-05-27,514028.6486024352
2022-05-28,525419.0114905846
2022-05-29,529933.791459578
2022-05-30,532453.791459578
2022-05-31,540090.6486024351
2022-06-01,545280.3628881495
2022-06-02,558565.5057452923
2022-06-03,561154.6486024351
2022-06-04,570550.4946169553
2022-06-05,585486.2089026695
2022-06-06,596355.780331241
2022-06-07,608310.3517598124
2022-06-08,614472.2753104438
2022-06-09,617101.4181675867
2022-06-10,617511.9895961581
2022-06-11,616471.35212206
2022-06-12,614744.9235506315
2022-06-13,617125.2092649172
2022-06-14,617159.6378363457
2022-06-15,602757.0771738637
2022-06-16,596560.791459578
2022-06-17,598819.2200310065
2022-06-18,590946.0771738637
2022-06-19,574382.9343167208
2022-06-20,563465.0771738637
2022-06-21,553402.791459578
2022-06-22,553940.4285714285
2022-06-23,543892.1428571428
2022-06-24,528206.7142857143
2022-06-25,516127.0
2022-06-26,515324.71428571426
2022-06-27,508486.71428571426
2022-06-28,504393.14285714284
2022-06-29,472763.5714285714
